Seccion Nro,Seccion Nombre,Circuito Nro,Circuito Nombre,Escuela,Dirección,Ciudad,Provincia,Pais,Electores,Location, Latitude,Longitude,Found,Quality,Source
23,TERCERO ARRIBA,348,RIO TERCERO,INST ALEXIS CARREL,GRAL PAZ Y ESPAÑA 390,RIO TERCERO,Córdoba,Argentina,5848,"GRAL PAZ Y ESPAÑA 390, RIO TERCERO, Córdoba, Argentina",-32.1770558,-64.1115872,"Gral. Paz & España, Río Tercero, Córdoba, Argentina",Partial Match,Google
6,GRAL SAN MARTIN,78,LA LAGUNA,ESC ESTEBAN ECHEVERRIA,GENERAL PAZ 556,LA LAGUNA,Córdoba,Argentina,1355,"GENERAL PAZ 556, LA LAGUNA, Córdoba, Argentina",-32.8043213,-63.2436813,"Gral. Paz, La Laguna, Córdoba, Argentina",Partial Match,Google
2,CALAMUCHITA,26,SANTA ROSA,PRIM-EL MUNDO DE LOS CHICOS,GUEMES 162,SANTA ROSA,Córdoba,Argentina,1712,"GUEMES 162, SANTA ROSA, Córdoba, Argentina",-32.0691725,-64.5424635,"Güemes 162, Santa Rosa de Calamuchita, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,14J,URCA,ESC REPUBLICA DEL LIBANO,IGARZABAL 1250,Córdoba,Córdoba,Argentina,2687,"IGARZABAL 1250, Córdoba, Córdoba, Argentina",-31.3814266,-64.2387311,"Hector Álvarez Igarzabal 1250, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,9B,LAS MARGARITAS,ESC CONGRESO DE TUCUMAN,MALVINO 2772,Córdoba,Córdoba,Argentina,1992,"MALVINO 2772, Córdoba, Córdoba, Argentina",-31.3769809,-64.2119449,"Herminio Malvino 2772, X5008EWF Córdoba, Argentina",Partial Match,Google
1,CAPITAL,13H,PATRICIOS,ESC MUNIC DR D LATELLA FRIAS,H DE AYOHUMA S/N,Córdoba,Córdoba,Argentina,1695,"H DE AYOHUMA S/N, Córdoba, Córdoba, Argentina",-31.3722276,-64.1348227,"Heroinas de Ayohuma, Córdoba, Argentina",Partial Match,Google
23,TERCERO ARRIBA,348,RIO TERCERO,COLEGIO C SAAVEDRA LAMAS,HILARIO CUADROS Y EDMUNDO CARTOS S/N,RIO TERCERO,Córdoba,Argentina,3430,"HILARIO CUADROS Y EDMUNDO CARTOS S/N, RIO TERCERO, Córdoba, Argentina",-32.1721476,-64.103772,"Hilario Cuadros & Edmundo Cartos, Río Tercero, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,11A,ALTO ALBERDI,ESC SUP DE COMERCIO H VIEYTES,CASEROS Y VIEYTES,Córdoba,Córdoba,Argentina,3410,"CASEROS Y VIEYTES, Córdoba, Córdoba, Argentina",-31.4092441,-64.2132214,"Hipólito Vieytes & Caseros, Córdoba, Argentina",Partial Match,Google
4,CRUZ DEL EJE,44,CRUZ DEL EJE,ESC.PROV.D.F.SARMIENTO,IRIGOYEN 247,CRUZ DEL EJE,Córdoba,Argentina,4459,"IRIGOYEN 247, CRUZ DEL EJE, Córdoba, Argentina",-30.7226247,-64.8069028,"Hipólito Yrigoyen 247, X5280HKE Cruz del Eje, Córdoba, Argentina",Partial Match,Google
12,PUNILLA,154,LA FALDA,ESC JOSE MARIA PAZ,HIPOLITO YRIGOYEN 431,LA FALDA,Córdoba,Argentina,2366,"HIPOLITO YRIGOYEN 431, LA FALDA, Córdoba, Argentina",-31.1038954,-64.4799092,"Hipólito Yrigoyen 431, La Falda, Córdoba, Argentina",Partial Match,Google
