Seccion Nro,Seccion Nombre,Circuito Nro,Circuito Nombre,Escuela,Dirección,Ciudad,Provincia,Pais,Electores,Geo
6,GRAL SAN MARTIN,90,VILLA NUEVA,IPEM N° 322,LIMA Y RIVADAVIA,VILLA NUEVA,Córdoba,Argentina,3440,"LIMA Y RIVADAVIA, VILLA NUEVA, Córdoba, Argentina"
9,MARCOS JUAREZ,120,ARIAS,ESC.R.ESCALADA DE SAN MARTIN,AV. ESPAÑA 799,ARIAS,Córdoba,Argentina,3440,"AV. ESPAÑA 799, ARIAS, Córdoba, Argentina"
12,PUNILLA,148,CAPILLA DEL MONTE,ESC ESP JUAN MANUEL FERNANDEZ,AV PUEYRREDON 131,CAPILLA DEL MONTE,Córdoba,Argentina,3440,"AV PUEYRREDON 131, CAPILLA DEL MONTE, Córdoba, Argentina"
12,PUNILLA,156,VILLA CARLOS PAZ,INST INDUSTRIAL CRISTO OBRERO,FLORENCIO SANCHEZ S/N-,VILLA CARLOS PAZ,Córdoba,Argentina,3440,"FLORENCIO SANCHEZ S/N-, VILLA CARLOS PAZ, Córdoba, Argentina"
12,PUNILLA,156,VILLA CARLOS PAZ,IPEM N° 365-DR RENE FAVALORO,GOBERNADOR ALVAREZ 131,VILLA CARLOS PAZ,Córdoba,Argentina,3440,"GOBERNADOR ALVAREZ 131, VILLA CARLOS PAZ, Córdoba, Argentina"
13,RIO CUARTO,188,RIO CUARTO,ESC 21 DE JULIO,BAIGORRIA 552,RIO CUARTO,Córdoba,Argentina,3440,"BAIGORRIA 552, RIO CUARTO, Córdoba, Argentina"
13,RIO CUARTO,188,RIO CUARTO,ESC VELEZ SARSFIELD,MENDOZA 1502,RIO CUARTO,Córdoba,Argentina,3440,"MENDOZA 1502, RIO CUARTO, Córdoba, Argentina"
23,TERCERO ARRIBA,348,RIO TERCERO,ESC GREGORIA I PEREZ,ANGELINA ORTIZ ESQ INDEPENDENCIA S/N,RIO TERCERO,Córdoba,Argentina,3440,"ANGELINA ORTIZ ESQ INDEPENDENCIA S/N, RIO TERCERO, Córdoba, Argentina"
1,CAPITAL,8B,PUEYRREDON,ESC DEAN FUNES,ANA M JANER 1551,Córdoba,Córdoba,Argentina,3439,"ANA M JANER 1551, Córdoba, Córdoba, Argentina"
1,CAPITAL,1,SECCIONAL PRIMERA,ESC SANTA TERESA DE JESUS,OBISPO TREJO Y SANABRIA 160,Córdoba,Córdoba,Argentina,3430,"OBISPO TREJO Y SANABRIA 160, Córdoba, Córdoba, Argentina"
1,CAPITAL,8B,PUEYRREDON,INST SAGRADO CORAZON,ROMA 1153,Córdoba,Córdoba,Argentina,3430,"ROMA 1153, Córdoba, Córdoba, Argentina"
1,CAPITAL,8B,PUEYRREDON,INST SAGRADA FAMILIA,BUCHARDO 1729,Córdoba,Córdoba,Argentina,3430,"BUCHARDO 1729, Córdoba, Córdoba, Argentina"
1,CAPITAL,12D,JOSE IGNACIO DIAZ,ESC MONSEÑOR M DE ANDREA,17 DE JULIO 380,Córdoba,Córdoba,Argentina,3430,"17 DE JULIO 380, Córdoba, Córdoba, Argentina"
1,CAPITAL,13A,AYACUCHO,ESC R SANCHEZ DE CALDELARI,ALVAREZ DE LAS CASAS 280   AYACUCHO,Córdoba,Córdoba,Argentina,3430,"ALVAREZ DE LAS CASAS 280   AYACUCHO, Córdoba, Córdoba, Argentina"
2,CALAMUCHITA,26,SANTA ROSA,INST PARR SAN JUAN DIEGO,AV INT ANGEL LLANOS 320,SANTA ROSA,Córdoba,Argentina,3430,"AV INT ANGEL LLANOS 320, SANTA ROSA, Córdoba, Argentina"
20,SAN JUSTO,310,SAN FRANCISCO SECC. SUR,ESC GENERAL MITRE,SANTA FE 538,SAN FRANCISCO SECC. SUR,Córdoba,Argentina,3430,"SANTA FE 538, SAN FRANCISCO SECC. SUR, Córdoba, Argentina"
20,SAN JUSTO,310,SAN FRANCISCO SECC. SUR,ESCUELA 2 DE ABRIL,FALUCHO Y PEATONAL LARREA N S/N,SAN FRANCISCO SECC. SUR,Córdoba,Argentina,3430,"FALUCHO Y PEATONAL LARREA N S/N, SAN FRANCISCO SECC. SUR, Córdoba, Argentina"
